token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
The	AT	Z5	The	DT
Second	MD	N4	Second	JJ
Website	NN1	Y2	Website	NN
I	PPIS1	Z8mf	I	PRP
Bought	VVD	I2.2	Bought	VBD
:	:	""	:	:
Predictions	NN2	Q2.2/T1.1.3 X2.6+	Predictions	NNS
Coming	VVG	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2	Coming	VBG
True	JJ	A5.2+ A5.4+	True	JJ
?	?	""	?	.
-----	-----	""	-----	CD
While	CS	Z5	While	IN
you	PPY	Z8mf	you	PRP
may	VM	A7+	may	MD
have	VHI	Z5 A9+ A2.2 S4	have	VB
been	VBN	Z5 A3+	been	VBN
eagerly	RR	X5.2+	eagerly	RB
waiting	VVG	T1.3 A3+ A11.1+ S1.1.1%	waiting	VBG
for	IF	Z5	for	IN
my	APPGE	Z8	my	PRP$
post	NN1	Q1.2 O2 I3.1 M6	post	NN
about	II	Z5	about	IN
PBN	NP1	Z99	PBN	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
decided	VVD	X6+	decided	VBD
to	TO	Z5	to	TO
whip	VVI	E3- M2 M1/N3.8+ A1.1.1 A2.2 A9-	whip	VB
up	RP	Z5 X9.1+ M6 N4 N5++ T2- A1.1.1 N5+/A2.1	up	RP
a	AT1	Z5	a	DT
no-so-short	JJ	Z99	no-so-short	NN
but	CCB	Z5	but	CC
sweet	JJ	X3.1 O4.2+	sweet	JJ
text	NN1	Q1.2 Q4.1	text	NN
about	II	Z5	about	IN
the	AT	Z5	the	DT
second	MD	N4	second	JJ
website	NN1	Y2	website	NN
I	PPIS1	Z8mf	I	PRP
bought	VVD	I2.2	bought	VBD
for	IF	Z5	for	IN
my	APPGE	Z8	my	PRP$
portfolio	NN1	I2.1 B5 Q1.2 S7.1+ C1	portfolio	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
website	NN1	Y2	website	NN
has	VHZ	Z5 A9+ A2.2 S4	has	VBZ
started	VVN	T2+ E5- E3-	started	VBN
showing	VVG	A10+ S1.1.1	showing	VBG
some	DD	N5 Z5	some	DT
good	JJ	A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+	good	JJ
numbers	NN2	N5 N1 Q1.3 K2 Q4.2	numbers	NNS
,	,	""	,	,
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
think	VV0	X2.1	think	VBP
this	DD1	Z8 M6 Z5	this	DT
is	VBZ	A3+ Z5	is	VBZ
