token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
was	VBDZ	Z5 A3+	was	VBD
asked	VVN@	Q2.2	asked	VBN
many	DA2	N6+[i2.2.1 N5+ N6+[i1.2.1	many	JJ
times	NNT2	N6+[i2.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1 N6+[i1.2.2	times	NNS
,	,	""	,	,
since	CS	Z5	since	IN
I	PPIS1	Z8mf	I	PRP
moved	VVD	M2 M1 A2.1+ E1 H4/A2.1	moved	VBD
to	II	Z5	to	TO
Canada	NP1	Z2	Canada	NNP
What	DDQ	Z8 Z5	What	WP
was	VBDZ	A3+ Z5	was	VBD
it	PPH1	Z8	it	PRP
like	II	Z5	like	IN
growing	VVG	T3+/A2.1[i3.2.1 N3.2+/A2.1[i3.2.1 S1.2.6+/A2.1[i3.2.1 N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4	growing	VBG
up	RP	T3+/A2.1[i3.2.2 N3.2+/A2.1[i3.2.2 S1.2.6+/A2.1[i3.2.2	up	RP
under	II	Z5	under	IN
totalitarian	JJ	G1.2/S7.1+	totalitarian	JJ
regime	NN1	G1.1 S7.1+ B3	regime	NN
in	II	Z5	in	IN
Russia	NP1	Z2	Russia	NNP
?	?	""	?	.
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
first	MD	N4	first	JJ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
Ive	NP1	Z99	Ive	NN
heard	VVD	X3.2 X2.3+ G2.1@	heard	VBD
this	DD1	M6 Z5 Z8	this	DT
question	NN1	Q2.2 X4.1	question	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
probably	RR	A7+	probably	RB
had	VHD	X3.4[i4.3.1 X2.4[i4.3.1 A9+ Z5 A2.2 S4	had	VBD
a	AT1	X3.4[i4.3.2 X2.4[i4.3.2 Z5	a	DT
puzzled	JJ	X2.5-	puzzled	VBN
look	NN1	X3.4[i4.3.3 X2.4[i4.3.3 A8 X3.4 X2.4 O4.1	look	NN
on	II	Z5	on	IN
my	APPGE	Z8	my	PRP$
face	NN1	B1 W3 O2 A8 S1.2.3+	face	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
just	RR	A14 T3--- T1.3- N3.3---	just	RB
never	RR	T1/Z6	never	RB
thought	VVD	X2.1	thought	VBN
of	IO	Z5	of	IN
my	APPGE	Z8	my	PRP$
