token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	NN
-----	-----	""	-----	CD
Hey	UH	Z4	Hey	UH
sister	NN1	S4f S9/S2.1f B3/S2.1f S2.1f A2.2	sister	NN
!	!	""	!	.
-----	-----	""	-----	CD
Sexyfit	VV0	Z99	Sexyfit	NNP
Chef	NN1	F1/S2mf	Chef	NNP
Vera	NP1	Z1f	Vera	NNP
is	VBZ	A3+ Z5	is	VBZ
here	RL	M6 T1.1.2 T1.2	here	RB
.	.	""	.	.
-----	-----	""	-----	CD
As	CSA	Z5	As	IN
you	PPY	Z8mf	you	PRP
already	RR	T1.1.1	already	RB
know	VV0	X2.2+ S3.2/B1%	know	VBP
(	(	""	(	NN
and	CC	Z5	and	CC
if	CS	Z7	if	IN
you	PPY	Z8mf	you	PRP
did	VDD	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	did	VBD
nt	XX	S9/Q4.1 Z3c	nt	NNS
,	,	""	,	,
you	PPY	Z8mf	you	PRP
do	VD0	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VBP
now	RT	T1.1.2 Z4	now	RB
)	)	""	)	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
from	II	Z5	from	IN
Russia	NP1	Z2	Russia	NNP
.	.	""	.	.
-----	-----	""	-----	CD
For	IF	Z5	For	IN
Russians	NN2	Z2/S2mf	Russians	NNPS
,	,	""	,	,
New	JJ	T1.3/K1[i1.2.1 T3-	New	NNP
Years	NNT2	T1.3/K1[i1.2.2 T1.3	Years	NNS
Eve	NP1	Z1f	Eve	NNP
is	VBZ	A3+ Z5	is	VBZ
the	AT	Z5	the	DT
biggest	JJT	N3.2+++ N5+++ A11.1+++ S1.2.5+++ X5.2+++	biggest	JJS
holiday	NN1	K1/T1.3	holiday	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
year	NNT1	T1.3 P1c	year	NN
.	.	""	.	.
-----	-----	""	-----	CD
When	CS	Z5	When	WRB
I	PPIS1	Z8mf	I	PRP
was	VBDZ	A3+ Z5	was	VBD
younger	JJR	T3--	younger	JJR
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
rarely	RR	N6-	rarely	RB
hosted	VVD	S1.1.1	hosted	VBD
the	AT	Z5	the	DT
party	NN1	K1/S1.1.3+c G1.2c S1.1.3+/S2mf S5+c	party	NN
at	II	Z5	at	IN
home	NN1	H4/H1c M6	home	NN
,	,	""	,	,
but	CCB	Z5	but	CC
now	RT	T1.1.2 Z4	now	RB
,	,	""	,	,
with	IW	Z5	with	IN
three	MC	N1 T1.2 T3	three	CD
kids	NN2	S2mf/T3- S4mf L2	kids	NNS
,	,	""	,	,
going	VVG	M1[i2.2.1 K1[i2.2.1 S3.2[i2.2.1 O4.6-[i2.2.1 Q4[i2.2.1 B1[i2.2.1 M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	going	VBG
out	RP	M1[i2.2.2 K1[i2.2.2 S3.2[i2.2.2 O4.6-[i2.2.2 Q4[i2.2.2 B1[i2.2.2 M6	out	RP
is	VBZ	A3+ Z5	is	VBZ
not	XX	Z6	not	RB
an	AT1	Z5	an	DT
option	NN1	X7+ I2.1 P1	option	NN
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	IN
every	AT1	N6+[i3.2.1 N5.1+	every	DT
year	NNT1	N6+[i3.2.2 T1.3 P1c	year	NN
,	,	""	,	,
we	PPIS2	Z8	we	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
a	AT1	Z5	a	DT
big	JJ	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+	big	JJ
party	NN1	K1/S1.1.3+c G1.2c S1.1.3+/S2mf S5+c	party	NN
at	II	E6+[i4.3.1 Z5	at	IN
home	NN1	E6+[i4.3.2 H4/H1c M6	home	NN
with	IW	E6+[i4.3.3 Z5	with	IN
lots	PN	N5+	lots	NNS
of	IO	Z5	of	IN
great	JJ	A5.1+ A11.1+ N3.2+ N5+ X5.2+ A13.3	great	JJ
food	NN1	F1	food	NN
.	.	""	.	.
-----	-----	""	-----	CD
Our	APPGE	Z8	Our	PRP$
New	JJ	T1.3/K1[i5.2.1 T3-	New	NNP
Years	NNT2	T1.3/K1[i5.2.2 T1.3	Years	NNS
party	NN1	K1/S1.1.3+c G1.2c S1.1.3+/S2mf S5+c	party	NN
is	VBZ	A3+ Z5	is	VBZ
not	XX	Z6	not	RB
the	AT	Z5	the	DT
kind	NN1	A4.1	kind	NN
where	CS	M6	where	WRB
you	PPY	Z8mf	you	PRP
sit	VV0	M8[i6.2.1 M1[i6.2.1 M2[i6.2.1 M8 C1 P1 G1.1 G2.1 M6 A9+	sit	VBP
down	RP	M8[i6.2.2 M1[i6.2.2 M2[i6.2.2	down	RB
and	CC	Z5	and	CC
spend	VV0	I1.2 A1.5.1 T1.3	spend	VB
two	MC	N1 T3 T1.2	two	CD
hours	NNT2	T1.3	hours	NNS
at	II	Z5	at	IN
the	AT	Z5	the	DT
table	NN1	H5 Q1.2 N2	table	NN
,	,	""	,	,
but	CCB	Z5	but	CC
rather	RG	A13.5	rather	RB
a	AT1	Z5	a	DT
buffet	NN1	F1	buffet	NN
style	NN1	X4.2 O4.1 O4.2+ A4.1 Q3	style	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
serve	VV0	S8+ S7.1- I2.2 A9- F1 A1.1.1 I3.1 K5.1 G2.1	serve	VBP
7-10	MCMC	N1 T1.2 T3 T1.3 N3.2	7-10	CD
appetizers	NN2	F1/N4 O4.2+	appetizers	NNS
,	,	""	,	,
salads	NN2	F1	salads	NNS
,	,	""	,	,
and	CC	Z5	and	CC
deserts	NN2	W3	deserts	NNS
of	RR21	Z4[i7.2.1	of	IN
course	RR22	Z4[i7.2.2 Z4	course	NN
.	.	""	.	.
-----	-----	""	-----	CD
We	PPIS2	Z8	We	PRP
eat	VV0	F1/B1 A1.5.1/N5+	eat	VBP
bites	NN2	B1 F1 X3.1 N5+	bites	VBZ
of	IO	Z5	of	IN
food	NN1	F1	food	NN
and	CC	Z5	and	CC
hang	VV0	M2[i8.2.1 S1.1.1[i8.2.1 M1[i8.2.1 M2 M1 M8 G2.1 S7.1-	hang	VB
out	RP	M2[i8.2.2 S1.1.1[i8.2.2 M1[i8.2.2 M6	out	RP
all	DB	T1.3+[i10.3.1 N5.1+ T1.3+[i9.2.1	all	DT
night	NNT1	T1.3+[i10.3.2 T1.3 T1.3+[i9.2.2	night	NN
long	RR	T1.3+[i10.3.3 T1.3+	long	RB
.	.	""	.	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
as	CSA	Z5	as	IN
we	PPIS2	Z8	we	PRP
all	DB	N5.1+	all	DT
know	VV0	X2.2+ S3.2/B1%	know	VBP
,	,	""	,	,
eating	VVG	F1/B1 A1.5.1/N5+	eating	VBG
a	AT1	Z5	a	DT
bite	NN1	B1 F1 X3.1 N5+	bite	NN
here	RL	M6 T1.1.2 T1.2	here	RB
