token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
My	APPGE	Z8	My	PRP$
Monthly	JJ	N6+	Monthly	JJ
Income	NN1	I1.1	Income	NNP
Report	NN1	Q2.2 X3.2	Report	NNP
:	:	""	:	:
November	NPM1	T1.3[i1.2.1 T1.3	November	NNP
2015	MC	T1.3[i1.2.2 N1 T1.2 T3 T1.3 N3.2	2015	CD
In	II	Z5	In	IN
this	DD1	M6 Z5 Z8	this	DT
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
write	VV0	Q1.2 I2.1	write	VBP
about	II	Z5	about	IN
what	DDQ	Z8 Z5	what	WP
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
doing	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	doing	VBG
to	TO	Z5	to	TO
create	VVI	A1.1.1 A2.2 E1	create	VB
various	JJ	A6.3+	various	JJ
income	NN1	I1.1	income	NN
streams	NN2	W3/M4 N5 S5+c P1c	streams	NNS
that	CST	Z8 Z5	that	WDT
come	VV0	M6[i2.2.1 A2.2[i2.2.1 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2	come	VBP
from	II	M6[i2.2.2 A2.2[i2.2.2 Z5	from	IN
online	JJ	Y2	online	JJ
endeavors	NN2	X8+	endeavors	NNS
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
monthly	JJ	N6+	monthly	JJ
income	NN1	I1.1	income	NN
reports	NN2	Q2.2 X3.2	reports	NNS
detail	VV0@	Q2.2	detail	NN
my	APPGE	Z8	my	PRP$
results	NN2	A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2	results	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Why	RRQ	A2.2	Why	WRB
am	VBM	Z5 A3+	am	VBP
I	PPIS1	Z8mf	I	PRP
sharing	VVG	S1.1.2+	sharing	VBG
my	APPGE	Z8	my	PRP$
income	NN1	I1.1	income	NN
publicly	RR	A10+	publicly	RB
?	?	""	?	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
hope	VV0	X2.6+ E4.1+ X9.2+ A5.1+	hope	VBP
to	TO	Z5	to	TO
gain	VVI	A9+ N5+/A2.1	gain	VB
trustworthiness	NN1	S1.2 O4.1 A10+	trustworthiness	NN
with	IW	Z5	with	IN
you	PPY	Z8mf	you	PRP
and	CC	Z5	and	CC
to	TO	Z5	to	TO
