token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	NN
-----	-----	""	-----	CD
Hey	UH	Z4	Hey	UH
sexy	JJ	S3.2	sexy	JJ
,	,	""	,	,
Vera	NP1	Z1f	Vera	NNP
here	RL	M6 T1.1.2 T1.2	here	RB
,	,	""	,	,
your	APPGE	Z8	your	PRP$
Sexyfit	NN1	Z99	Sexyfit	NN
chef	NN1	F1/S2mf	chef	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
havent	VV0	Z99	havent	VBP
lived	VVN	H4 L1+ A3	lived	VBN
in	II	Z5	in	IN
the	AT	Z5	the	DT
United	NP1	Z2c[i3.2.1 Z2c[i2.2.1 Z3c Z1mf[i1.2.1 Z3c[i1.2.1	United	NNP
States	NP1	Z2c[i3.2.2 Z2c[i2.2.2 Z2 Z1mf[i1.2.2 Z3c[i1.2.2	States	NNPS
my	APPGE	Z8	my	PRP$
whole	JJ	N5.1+	whole	JJ
life	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1	life	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
moved	VVD	M2 M1 A2.1+ E1 H4/A2.1	moved	VBD
here	RL	M6 T1.1.2 T1.2	here	RB
when	CS	Z5	when	WRB
I	PPIS1	Z8mf	I	PRP
was	VBDZ	A3+ Z5	was	VBD
21	MC	T3 N1 T1.2 T1.3 N3.2	21	CD
.	.	""	.	.
-----	-----	""	-----	CD
One	MC1	N1 T3 T1.2	One	CD
of	IO	Z5	of	IN
the	AT	Z5	the	DT
first	MD	N4	first	JJ
things	NN2	O2 X4.1 A7- S2mf L2mf	things	NNS
I	PPIS1	Z8mf	I	PRP
noticed	VVD	X3.4+ A11.2+ Q2.2 X2.2+ S1.2.4+ G2.1	noticed	VBD
was	VBDZ	A3+ Z5	was	VBD
that	DD1	Z5 Z8	that	IN
American	JJ	Z2	American	JJ
breads	NN2	F1 I1.1	breads	NNS
are	VBR	A3+ Z5	are	VBP
VERY	RG	A13.3	VERY	RB
different	JJ	A6.1-	different	JJ
from	II	Z5	from	IN
those	DD2	Z8 Z5	those	DT
we	PPIS2	Z8	we	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
back	NN1	B1 M6	back	RB
home	RL	H4 M6	home	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
not	XX	Z6	not	RB
saying	VVG	Q2.1 Z4%	saying	VBG
ours	PPGE	Z8	ours	JJ
taste	VV0@	X3.1 F1 X2.2	taste	NN
better	RRR	A5.1++ G2.2++ O4.2++	better	JJR
(	(	""	(	CD
some	DD	N5 Z5	some	DT
do	VD0	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VBP
and	CC	Z5	and	CC
some	DD	N5 Z5	some	DT
do	VD0	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VBP
nt	XX	S9/Q4.1 Z3c	nt	NNS
)	)	""	)	NN
but	CCB	Z5	but	CC
ours	PPGE	Z8	ours	JJ
isnt	VV0	Z99	isnt	NN
as	RG@	A13	as	IN
sweet	JJ	X3.1 O4.2+	sweet	JJ
,	,	""	,	,
isnt	VV0	Z99	isnt	JJ
as	RG@	A13	as	IN
soft	JJ	O4.5 X3.2- O4.3 O4.1 S1.2.5- A12+	soft	JJ
and	CC	Z5	and	CC
sliced	JJ	O4.1	sliced	JJ
bagged	JJ@	O4.4 A9+ K5.1	bagged	JJ
bread	NN1	F1 I1.1	bread	NN
wasnt	VV0	Z99	wasnt	NN
popular	JJ	M1[i4.2.1 M2[i4.2.1 E2+ S5+	popular	JJ
in	II	M1[i4.2.2 M2[i4.2.2 Z5	in	IN
Russia	NP1	Z2 Z2[i5.2.1 Z1mf[i5.2.1	Russia	NNP
11	MC	T1.1.1[i6.3.1 N1 T1.2 T3 T1.3 N3.2 Z2[i5.2.2 Z1mf[i5.2.2	11	CD
years	NNT2	T1.1.1[i6.3.2 T1.3 T1.1.1[i7.2.1	years	NNS
ago	RA	T1.1.1[i6.3.3 T1.1.1 T1.1.1[i7.2.2	ago	RB
.	.	""	.	.
-----	-----	""	-----	CD
You	PPY	Z8mf	You	PRP
can	VM	A7+	can	MD
see	VVI	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
some	DD	N5 Z5	some	DT
sliced	JJ	O4.1	sliced	JJ
bread	NN1	F1 I1.1	bread	NN
at	II	Z5	at	IN
supermarkets	NN2	I2.2/H1	supermarkets	NNS
now	RT	T1.1.2 Z4	now	RB
,	,	""	,	,
but	CCB	Z5	but	CC
Russians	NN2	Z2/S2mf	Russians	NNPS
still	RR	T2++ Z4 E3+	still	RB
prefer	VV0	E2++	prefer	VBP
nice	JJ	O4.2+ S1.2.1+	nice	JJ
freshly	RR	T3-	freshly	RB
baked	JJ	F1 O4.6	baked	JJ
bread	NN1	F1 I1.1	bread	NN
a	AT1	Z5	a	DT
loaf	NN1	F1	loaf	NN
you	PPY	Z8mf	you	PRP
slice	VV0	A1.1.1	slice	VBP
at	II	Z5	at	IN
home	NN1	H4/H1c M6	home	NN
.	.	""	.	.
-----	-----	""	-----	CD
When	CS	Z5	When	WRB
I	PPIS1	Z8mf	I	PRP
read	VV0	Q3 Q1.2 X3.2+ X2.5+ P1 A10+	read	VBP
the	AT	Z5	the	DT
ingredient	NN1	A1.8+	ingredient	NN
list	NN1	Q1.2 N4 M4	list	NN
I	PPIS1	Z8mf	I	PRP
was	VBDZ	A3+ Z5	was	VBD
in	II	Z5	in	IN
shock	NN1	E5- B2- O3	shock	NN
.	.	""	.	.
-----	-----	""	-----	CD
Because	CS	Z5/A2.2	Because	IN
what	DDQ	Z8 Z5	what	WP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
you	PPY	Z8mf	you	PRP
really	RR	A13.3 A5.2+	really	RB
need	VVI	S6+	need	VBP
to	TO	Z5	to	TO
make	VVI	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	make	VB
bread	NN1	F1 I1.1	bread	NN
:	:	""	:	:
flour	NN1	F1	flour	NN
,	,	""	,	,
some	DD	N5 Z5	some	DT
oil	NN1	O1.2 C1 C1/O1	oil	NN
,	,	""	,	,
water	NN1	O1.2 W3/M4 B1 C1%	water	NN
,	,	""	,	,
a	AT1	Z5	a	DT
bit	NN1	N5- N5.1- O2 Y2	bit	NN
of	IO	Z5	of	IN
sugar	NN1	F1	sugar	NN
,	,	""	,	,
little	JJ	N3.2- T3- N3.7- N3.3- T1.3- A11.1-	little	JJ
salt	NN1	F1 O1.1	salt	NN
and	CC	Z5	and	CC
yeast	NN1	L3 F1	yeast	NN
.	.	""	.	.
-----	-----	""	-----	CD
Thats	VVZ	Z5 Z8 A13.3 A6.1+	Thats	NNS
all	DB	N5.1+	all	DT
.	.	""	.	.
-----	-----	""	-----	CD
What	DDQ	Z8 Z5	What	WP
