token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
February	NPM1	T1.3[i1.2.1 T1.3	February	NNP
2016	MC	T1.3[i1.2.2 N1 T1.2 T3 T1.3 N3.2	2016	CD
Income	NN1	I1.1	Income	NNP
Report	NN1	Q2.2 X3.2	Report	NNP
:	:	""	:	:
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
Rotation	NN1	M1 M2 A6.3+	Rotation	NNP
,	,	""	,	,
Good	NP1@	Z1mf[i2.2.1 Z3c[i2.2.1	Good	JJ
Amazon	NP1	Z1mf[i2.2.2 Z3c[i2.2.2 Z2 M7	Amazon	NNP
Business	NN1	I2.1 A1.1.1 A5.1+++	Business	NNP
,	,	""	,	,
Building	VVG@	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	Building	NNP
PBN	NP1	Z99	PBN	NNP
Before	II	Z5	Before	IN
proceeding	VVG	A1.1.1 T2++ M1	proceeding	VBG
with	IW	Z5	with	IN
the	AT	Z5	the	DT
income	NN1	I1.1	income	NN
report	NN1	Q2.2 X3.2	report	NN
for	IF	Z5	for	IN
the	AT	Z5	the	DT
second	MD	N4	second	JJ
month	NNT1	T1.3	month	NN
of	IO	Z5	of	IN
2016	MC	N1 T1.2 T3 T1.3 N3.2	2016	CD
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
have	VH0	S6+[i3.2.1 A9+ Z5 A2.2 S4	have	VBP
to	TO	S6+[i3.2.2 Z5	to	TO
tell	VVI	Q2.2 Q2.1 X3 A10+	tell	VB
you	PPY	Z8mf	you	PRP
that	CST	Z8 Z5	that	IN
I	PPIS1	Z8mf	I	PRP
will	VM	T1.1.3	will	MD
temporarily	RR	T1.3	temporarily	RB
put	VVI	M2 Q2.1 Q2.2 A1.1.1	put	VB
the	AT	Z5	the	DT
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
on	II	Z5	on	IN
pause	NN1	T2-/T1.3	pause	NN
,	,	""	,	,
probably	RR	A7+	probably	RB
for	IF	Z5	for	IN
the	AT	Z5	the	DT
whole	JJ	N5.1+	whole	JJ
March	NPM1	T1.3	March	NNP
.	.	""	.	.
-----	-----	""	-----	CD
Thus	RR	Z5/A2.2	Thus	RB
means	VVZ	Q1.1 X7+	means	VBZ
till	II	Z5	till	IN
