token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
January	NPM1	T1.3[i1.2.1 T1.3	January	NNP
2016	MC	T1.3[i1.2.2 N1 T1.2 T3 T1.3 N3.2	2016	CD
Income	NN1	I1.1	Income	NNP
Report	NN1	Q2.2 X3.2	Report	NNP
:	:	""	:	:
Website	JJ	Y2	Website	NNP
Nicknames	NN2	Q2.2	Nicknames	NNPS
,	,	""	,	,
Hiring	VVG	I2.2 I3.1	Hiring	VBG
a	AT1	Z5	a	DT
VA	FW	Z2 Z1f T3+ Z4 S7.1+ G1.1c O4.1 Q2.1 A4.1 T1.2 Z2/S2mf H2 S5+c X2.2 Z5 G3/S2mf T3+/S2mf A1.1.1 S1.1.1 S3.2 I2.1/S2mf S7.1+/S5+c	VA	NNP
,	,	""	,	,
Good	JJ	A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+	Good	JJ
Kickfurther	NN1	Z99	Kickfurther	NNP
Business	NN1	I2.1 A1.1.1 A5.1+++	Business	NNP
Here	RL	M6 T1.1.2 T1.2	Here	RB
comes	VVZ	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2	comes	VBZ
my	APPGE	Z8	my	PRP$
first	MD	N4	first	JJ
report	NN1	Q2.2 X3.2	report	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
year	NNT1	P1c[i2.2.1 T1.3 P1c	year	NN
2016	MC	P1c[i2.2.2 N1 T1.2 T3 T1.3 N3.2	2016	CD
!	!	""	!	.
-----	-----	""	-----	CD
January	NPM1	T1.3	January	NNP
was	VBDZ	A3+ Z5	was	VBD
somehow	RR	X4.2 A13.4	somehow	RB
a	AT1	Z5	a	DT
controversial	JJ	A6.2-	controversial	JJ
month	NNT1	T1.3	month	NN
.	.	""	.	.
-----	-----	""	-----	CD
One	MC1	N1 T3 T1.2	One	CD
of	IO	Z5	of	IN
my	APPGE	Z8	my	PRP$
acquired	JJ@	A9+	acquired	VBN
websites	NN2	Y2	websites	NNS
had	VHD	A9+ Z5 A2.2 S4	had	VBD
lower	JJR	M6 N3.7-- N5-- I1.3-- A5.1-- A11.1-- E4.1-- X3.2-- G2.2-- S7.1--	lower	JJR
earnings	NN2	I1.1	earnings	NNS
than	CSN	Z5	than	IN
expected	VVN	X2.6+ B1	expected	VBN
while	CS	Z5	while	IN
the	AT	Z5	the	DT
other	NN1@	A6.1-/Z8	other	JJ
had	VHD	A9+ Z5 A2.2 S4	had	VBD
much	RR	A13.3 N6+	much	RB
