token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
study	VV0@	P1 X2.4	study	VB
at	II	Z5	at	IN
the	AT	Z5	the	DT
University	NN1	P1/H1c	University	NNP
in	II	Z5	in	IN
Izhevsk	NP1	Z99	Izhevsk	NNP
(	(	""	(	CD
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
just	RR	A14 T3--- T1.3- N3.3---	just	RB
exams	NN2	P1	exams	NNS
twice	RR	N6	twice	RB
in	II	Z5	in	IN
year	NNT1	T1.3 P1c	year	NN
)	)	""	)	NN
but	CCB	Z5	but	CC
live	VV0	H4 L1+ A3	live	JJ
and	CC	Z5	and	CC
work	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	NN
alone	RR	S5- A14	alone	RB
in	II	Z5	in	IN
Moscow	NP1	Z2	Moscow	NNP
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
account	NN1	I1 I1.3 I2.1 Q2.2 Y2	account	NN
specialist	NN1	X2.2+/S2mf B3/S2mf	specialist	NN
in	II	Z5	in	IN
American	JJ	Z2	American	JJ
company	NN1	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c	company	NN
in	II	Z5	in	IN
NCR	NP1	Z99	NCR	NNP
also	RR	N5++	also	RB
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	working	VBG
as	II@	Z5	as	IN
nanny	NN1	S2.1f	nanny	NN
5	MC	N1	5	CD
days	NNT2	T1.3	days	NNS
on	II	Z5	on	IN
week	NNT1	T1.3	week	NN
after	II	Z5	after	IN
my	APPGE	Z8	my	PRP$
first	MD	N4	first	JJ
job	NN1	I3.1 A1.1.1 A12-	job	NN
I	PPIS1	Z8mf	I	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
a	AT1	N5+[i1.2.1 N6+[i1.2.1 A13.3[i1.2.1 Z5	a	DT
lot	NN1	N5+[i1.2.2 N6+[i1.2.2 A13.3[i1.2.2	lot	NN
of	IO	Z5	of	IN
friends	NN2	S3.1/S2mf	friends	NNS
there	RL	M6 T1.2	there	RB
.	.	""	.	.
-----	-----	""	-----	CD
All	DB	N5.1+	All	DT
my	APPGE	Z8	my	PRP$
friends	NN2	S3.1/S2mf	friends	NNS
are	VBR	A3+ Z5	are	VBP
very	RG	A13.3	very	RB
interested	JJ	X5.2+ S1.1.3+	interested	JJ
