token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
The	AT	Z5	The	DT
Websites	NN2	Y2	Websites	NNPS
I	PPIS1	Z8mf	I	PRP
Bought	VVD	I2.2	Bought	VBD
:	:	""	:	:
Current	JJ	T1.1.2	Current	JJ
State	NN1	G1.1c O4.1	State	NNP
Report	NN1	Q2.2 X3.2	Report	NNP
And	CC	Z5	And	CC
Action	NN1	A1.1.1 G3	Action	NNP
Plan	NN1	X7+ C1/H1	Plan	NNP
To	II	Z5	To	TO
Increase	NN1	N5+/A2.1	Increase	VB
Revenue	NN1	G1.1/I1 I1.1+ Z3c	Revenue	NN
As	CSA	Z5	As	IN
you	PPY	Z8mf	you	PRP
know	VV0	X2.2+ S3.2/B1%	know	VBP
I	PPIS1	Z8mf	I	PRP
have	VH0	Z5 A9+ A2.2 S4	have	VBP
recently	RR	T3---	recently	RB
bought	VVN	I2.2	bought	VBN
two	MC	N1 T3 T1.2	two	CD
websites	NN2	Y2	websites	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Lets	VVZ	S7.4+ I2.2/H1 T2-	Lets	VBZ
look	NN1	X3.4[i1.2.1 X2.4[i1.2.1 X2.1[i1.2.1 A8 X3.4 X2.4 O4.1	look	NN
at	II	X3.4[i1.2.2 X2.4[i1.2.2 X2.1[i1.2.2 Z5	at	IN
their	APPGE	Z8	their	PRP$
performance	NN1	K4 X9.2 A1.1.1 A12-	performance	NN
and	CC	Z5	and	CC
what	DDQ	Z8 Z5	what	WP
I	PPIS1	Z8mf	I	PRP
plan	VV0	X7+	plan	VBP
to	TO	Z5	to	TO
do	VDI	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VB
to	TO	Z5	to	TO
increase	VVI	N5+/A2.1	increase	VB
it	PPH1	Z8	it	PRP
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
have	VH0	X2.2-[i2.3.1 X9.1-[i2.3.1 A9+ Z5 A2.2 S4	have	VBP
no	AT	X2.2-[i2.3.2 X9.1-[i2.3.2 Z6	no	DT
idea	NN1	X2.2-[i2.3.3 X9.1-[i2.3.3 X4.1 X7+	idea	NN
how	RRQ	Z5 A13.3	how	WRB
realistic	JJ	A3+/A1.6 S1.2.6+	realistic	JJ
my	APPGE	Z8	my	PRP$
plan	NN1	X7+ C1/H1	plan	NN
is	VBZ	A3+ Z5	is	VBZ
so	RR	Z5 A13.3	so	RB
,	,	""	,	,
a	AT1	Z5	a	DT
