token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
Au	NN121	H4/S2.1f[i1.2.1	Au	NN
pair	NN122	H4/S2.1f[i1.2.2	pair	NN
from	II	Z5	from	IN
Russia	NP1	Z2	Russia	NNP
,	,	""	,	,
with	IW	Z5	with	IN
a	AT1	N5+[i2.2.1 N6+[i2.2.1 A13.3[i2.2.1 Z5	a	DT
lot	NN1	N5+[i2.2.2 N6+[i2.2.2 A13.3[i2.2.2	lot	NN
of	IO	Z5	of	IN
childcare	NN1	P1	childcare	NN
exerience	NN1	Z99	exerience	NN
,	,	""	,	,
starting	VVG	T2+ E5- E3-	starting	VBG
from	II	Z5	from	IN
March	NPM1	T1.3	March	NNP
Dear	JJ	E2+ I1.3+	Dear	NNP
Family	NP1	S4c A4.1c	Family	NNP
,	,	""	,	,
My	APPGE	Z8	My	PRP$
name	NN1	Q2.2	name	NN
is	VBZ	A3+ Z5	is	VBZ
Darya	NP1	Z99	Darya	NNP
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
20	MC	T3 N1 T1.2 T1.3 N3.2	20	CD
years	NNT2	T1.3	years	NNS
old	JJ	T3+ Z4	old	JJ
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
live	VV0	H4 L1+ A3	live	VBP
in	II	Z5	in	IN
Russia	NP1	Z2	Russia	NNP
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
would	VM	A7+	would	MD
like	VVI	E2+	like	VB
to	TO	Z5	to	TO
begin	VVI	T2+	begin	VB
with	IW	Z5	with	IN
some	DD	N5 Z5	some	DT
facts	NN2	A5.2+ X2.2	facts	NNS
about	II	Z5	about	IN
myself	PPX1	Z8mf	myself	PRP
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
a	AT1	Z5	a	DT
very	RG	A13.3	very	RB
energetic	JJ	X5.2+	energetic	JJ
,	,	""	,	,
optimistic	JJ	X2.6/A5.1+/S1.2	optimistic	JJ
and	CC	Z5	and	CC
friendly	JJ	S1.2.1+ S7.3-/K5.2	friendly	JJ
person	NN1	S2mfc	person	NN
.	.	""	.	.
-----	-----	""	-----	CD
Moreover	RR	Z5	Moreover	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
find	VV0	X2.1 A10+ X6+	find	VBP
myself	PPX1	Z8mf	myself	PRP
hardworking	JJ	X8+	hardworking	VBG
and	CC	Z5	and	CC
